index,transcript,protein,probability
2538,ENST00000547178,Q93086,0.7464
2539,ENST00000523243,Q9P243,0.7464
2540,ENST00000598925,D4AAZ6,0.7464
2541,ENST00000359272,P24071,0.7465
2542,ENST00000430495,Q3MIT2,0.7465
2543,ENST00000498578,Q5RFQ9,0.7465
2544,ENST00000263604,Q5JUK3,0.7465
2545,ENST00000412145,P26045,0.7466
2546,ENST00000533997,Q02734,0.7466
2547,ENST00000417270,Q86VX9,0.7466
2548,ENST00000541355,Q8N8E3,0.7466
2549,ENST00000361711,Q9UJX0,0.7466
2550,ENST00000517766,Q5REL0,0.7466
2551,ENST00000275223,Q9NY84,0.7467
2552,ENST00000392083,Q5W5W9,0.7467
2553,ENST00000457641,Q8WVR3,0.7467
2554,ENST00000448584,Q9NX02,0.7467
2555,ENST00000396701,Q16653,0.7467
2556,ENST00000348328,Q8K348,0.7467
2557,ENST00000514213,O60763,0.7467
2558,ENST00000383734,Q4R8B6,0.7467
2559,ENST00000382432,Q9NR90,0.7468
2560,ENST00000382432,Q9NR90,0.7468
2561,ENST00000382432,Q9NR90,0.7468
2562,ENST00000343118,Q9Y2C3,0.7469
2563,ENST00000462588,P21675,0.7469
2564,ENST00000341455,A2RUB6,0.747
2565,ENST00000490541,P61132,0.7471
2566,ENST00000397617,P23468,0.7471
2567,ENST00000551736,Q9NWZ3,0.7471
2568,ENST00000481489,Q1ZYL8,0.7471
2569,ENST00000483211,Q6QHF9,0.7471
2570,ENST00000507370,Q5RD69,0.7472
2571,ENST00000525919,Q7Z589,0.7472
2572,ENST00000337414,O43182,0.7472
2573,ENST00000373013,P80188,0.7473
2574,ENST00000544850,Q27W02,0.7473
2575,ENST00000559240,P41778,0.7473
2576,ENST00000341377,Q02297,0.7475
2577,ENST00000588732,Q49A26,0.7475
2578,ENST00000348333,Q93038,0.7475
2579,ENST00000465560,Q96EY7,0.7475
2580,ENST00000344640,Q70YC4,0.7475
2581,ENST00000590078,Q92800,0.7475
2582,ENST00000322302,Q9BZW8,0.7475
2583,ENST00000441710,Q6UXS9,0.7476
2584,ENST00000439711,Q03070,0.7476
2585,ENST00000601380,A6NHY2,0.7476
2586,ENST00000349314,O95236,0.7476
2587,ENST00000559742,O60658,0.7476
2588,ENST00000528960,A7XW16,0.7478
2589,ENST00000350027,Q15573,0.7478
2590,ENST00000307897,Q5RA78,0.7478
2591,ENST00000415484,Q5R9D1,0.7478
2592,ENST00000489066,Q03013,0.7478
2593,ENST00000542375,Q8NFQ5,0.7479
2594,ENST00000526889,P10242,0.7479
2595,ENST00000567951,Q92896,0.7479
2596,ENST00000448885,Q96QU1,0.748
2597,ENST00000521509,O35864,0.748
2598,ENST00000379538,Q9Y6H5,0.748
2599,ENST00000580640,Q9H5I5,0.748
2600,ENST00000481179,Q6ZV50,0.748
2601,ENST00000377958,Q9UKT9,0.7481
2602,ENST00000522066,Q9H2T7,0.7482
2603,ENST00000558521,Q6P4I2,0.7483
2604,ENST00000330807,P22557,0.7483
2605,ENST00000304283,Q6ZW76,0.7483
2606,ENST00000483652,Q6UXH1,0.7483
2607,ENST00000514029,P49699,0.7483
2608,ENST00000370894,O14772,0.7483
2609,ENST00000495265,Q3UQU0,0.7483
2610,ENST00000434676,O00429,0.7483
2611,ENST00000518280,Q495M3,0.7483
2612,ENST00000372825,Q9H3H1,0.7484
2613,ENST00000294599,O75095,0.7484
2614,ENST00000354456,Q659C4,0.7485
2615,ENST00000389156,Q9Y6X4,0.7487
2616,ENST00000490715,Q8TDW4,0.7487
2617,ENST00000441669,Q9H3H1,0.7487
2618,ENST00000296642,P53610,0.7489
2619,ENST00000361685,Q00872,0.7489
2620,ENST00000295981,Q8NAC3,0.749
2621,ENST00000539145,O15553,0.749
2622,ENST00000506018,A2T7D9,0.749
2623,ENST00000349552,Q8NFQ5,0.749
2624,ENST00000540617,P05186,0.7491
2625,ENST00000379869,Q8IZP9,0.7491
2626,ENST00000572467,Q5RBW3,0.7491
2627,ENST00000391623,Q5RE16,0.7491
2628,ENST00000277551,Q00975,0.7492
2629,ENST00000564231,O95180,0.7492
2630,ENST00000600619,Q6P9A1,0.7492
2631,ENST00000378826,Q9H1H9,0.7493
2632,ENST00000354456,Q659C4,0.7493
2633,ENST00000375733,Q13105,0.7493
2634,ENST00000354356,P58743,0.7493
2635,ENST00000506582,Q96CM8,0.7493
2636,ENST00000535011,O35783,0.7494
2637,ENST00000292309,Q6ZNJ1,0.7495
2638,ENST00000537368,Q13889,0.7495
2639,ENST00000484973,Q9BXM9,0.7495
2640,ENST00000592603,A6NC51,0.7496
2641,ENST00000426057,Q9HCX4,0.7496
2642,ENST00000512389,O54898,0.7497
2643,ENST00000342992,Q8WZ42,0.7497
2644,ENST00000513800,Q92564,0.7498
2645,ENST00000522773,Q9Y2G2,0.7499
2646,ENST00000342992,Q8WZ42,0.7499
2647,ENST00000537784,Q7Z3S7,0.7499
2648,ENST00000409743,O75716,0.75
2649,ENST00000246912,Q9UH92,0.75
2650,ENST00000379533,Q9Y6H5,0.75
2651,ENST00000406926,Q7L4E1,0.75
2652,ENST00000445809,P58743,0.75
2653,ENST00000299185,Q8N2C3,0.75
2654,ENST00000395469,Q9Y6H5,0.7501
2655,ENST00000552421,P49750,0.7501
2656,ENST00000542996,Q3T0K1,0.7501
2657,ENST00000358719,P18433,0.7501
2658,ENST00000502895,Q9NQW7,0.7502
2659,ENST00000547312,O00429,0.7502
2660,ENST00000420954,O75553,0.7502
2661,ENST00000535600,Q99572,0.7502
2662,ENST00000518647,O14920,0.7503
2663,ENST00000412844,A2T7D9,0.7503
2664,ENST00000268852,Q96H55,0.7503
2665,ENST00000590409,P59045,0.7504
2666,ENST00000539622,O15305,0.7505
2667,ENST00000559014,Q1HG43,0.7506
2668,ENST00000336909,P40189,0.7506
2669,ENST00000559224,Q6P4I2,0.7506
2670,ENST00000532352,Q04609,0.7507
2671,ENST00000421911,Q6U841,0.7507
2672,ENST00000357901,Q8N8Z8,0.7507
2673,ENST00000537584,Q8BMI3,0.7508
2674,ENST00000539410,Q86XJ1,0.7508
2675,ENST00000494737,Q6UXS9,0.7508
2676,ENST00000504010,A2T7D9,0.7509
2677,ENST00000433949,Q8NI51,0.7509
2678,ENST00000506928,Q9UBT6,0.7509
2679,ENST00000256412,O15204,0.7509
2680,ENST00000419549,P20273,0.751
2681,ENST00000396292,Q9HCF6,0.751
2682,ENST00000359151,P26715,0.751
2683,ENST00000377389,Q5RIA9,0.751
2684,ENST00000514652,Q53FE4,0.751
2685,ENST00000432700,O95236,0.7511
2686,ENST00000432700,O95236,0.7511
2687,ENST00000379869,Q8IZP9,0.7511
2688,ENST00000440868,A8MVW5,0.7511
2689,ENST00000557205,Q9Y2Z9,0.7511
2690,ENST00000478519,Q95IT1,0.7512
2691,ENST00000543135,O14638,0.7512
2692,ENST00000469175,Q5RA66,0.7512
2693,ENST00000518608,Q330K2,0.7512
2694,ENST00000333479,P50748,0.7513
2695,ENST00000445961,P29314,0.7513
2696,ENST00000588087,Q7Z403,0.7513
2697,ENST00000472572,Q6UX73,0.7513
2698,ENST00000518608,Q330K2,0.7513
2699,ENST00000317336,Q9ULJ1,0.7514
2700,ENST00000602047,Q4G0U5,0.7514
2701,ENST00000416101,Q8WWZ4,0.7514
2702,ENST00000372449,Q5JTD0,0.7515
2703,ENST00000493670,Q6GLZ5,0.7515
2704,ENST00000504884,Q9Y6H5,0.7516
2705,ENST00000440050,O14986,0.7516
2706,ENST00000316364,Q8NFY4,0.7517
2707,ENST00000319908,O95831,0.7517
2708,ENST00000261892,O60721,0.7518
2709,ENST00000413295,O35303,0.7518
2710,ENST00000422248,Q86YW9,0.7518
2711,ENST00000310677,Q8NFM4,0.7519
2712,ENST00000545242,Q6H8Q1,0.752
2713,ENST00000539417,Q86UA6,0.752
2714,ENST00000373737,Q9Y603,0.752
2715,ENST00000551899,Q5XIM9,0.7521
2716,ENST00000529446,Q5VTT2,0.7521
2717,ENST00000339244,Q6V1X1,0.7521
2718,ENST00000524634,Q5R795,0.7521
2719,ENST00000597599,Q9Y4J8,0.7521
2720,ENST00000354719,Q99JT2,0.7521
2721,ENST00000318218,Q5R414,0.7522
2722,ENST00000263335,Q06710,0.7522
2723,ENST00000547889,Q6S5H5,0.7522
2724,ENST00000590160,Q9UK12,0.7523
2725,ENST00000377551,Q9P2S2,0.7523
2726,ENST00000466087,Q5TAH2,0.7523
2727,ENST00000340094,P24821,0.7524
2728,ENST00000451172,Q1A5X6,0.7524
2729,ENST00000547509,Q00872,0.7524
2730,ENST00000569030,Q13286,0.7524
2731,ENST00000330149,Q86SZ2,0.7524
2732,ENST00000361812,P61132,0.7524
2733,ENST00000552816,Q12999,0.7524
2734,ENST00000497689,Q5TAH2,0.7524
2735,ENST00000441232,Q00872,0.7525
2736,ENST00000443581,Q14524,0.7526
2737,ENST00000464762,Q9UJU6,0.7526
2738,ENST00000360614,P36776,0.7526
2739,ENST00000211122,Q16772,0.7527
2740,ENST00000454468,Q9NXE4,0.7527
2741,ENST00000563910,Q8WWG1,0.7527
2742,ENST00000404542,B2RY83,0.7527
2743,ENST00000343542,Q9HBX9,0.7528
2744,ENST00000321027,P16383,0.7528
2745,ENST00000428638,Q6ZUM4,0.7528
2746,ENST00000484181,P05166,0.7528
2747,ENST00000526889,P10242,0.7529
2748,ENST00000357724,Q16288,0.7529
2749,ENST00000407322,P49758,0.7529
2750,ENST00000466087,Q5TAH2,0.7529
2751,ENST00000433107,P30203,0.7529
2752,ENST00000504937,P04637,0.7529
2753,ENST00000497355,Q9H334,0.7529
2754,ENST00000360610,Q00872,0.7529
2755,ENST00000381294,P40189,0.753
2756,ENST00000375226,Q5T4S7,0.753
2757,ENST00000461961,Q9NPH6,0.753
2758,ENST00000239859,A6NNP5,0.7531
2759,ENST00000591420,Q8NG50,0.7531
2760,ENST00000473737,Q9NPH6,0.7531
2761,ENST00000375934,Q3SXZ7,0.7531
2762,ENST00000546231,Q8IUD2,0.7531
2763,ENST00000350790,O76036,0.7532
2764,ENST00000413369,Q4G0U5,0.7532
2765,ENST00000585513,P20809,0.7533
2766,ENST00000373332,Q96I15,0.7533
2767,ENST00000342933,Q9Y2J2,0.7533
2768,ENST00000376282,Q8WTR4,0.7533
2769,ENST00000526592,O14521,0.7534
2770,ENST00000394005,Q6P461,0.7534
2771,ENST00000372589,Q9Y694,0.7534
2772,ENST00000318266,P18433,0.7534
2773,ENST00000376656,Q9HCM9,0.7535
2774,ENST00000483364,P13497,0.7535
2775,ENST00000490084,Q9UP52,0.7535
2776,ENST00000443627,Q86Z02,0.7536
2777,ENST00000508305,Q8WWN8,0.7537
2778,ENST00000434065,Q8NFR9,0.7538
2779,ENST00000575153,Q9H6R0,0.7538
2780,ENST00000566925,Q9H910,0.7538
2781,ENST00000375267,Q5T4S7,0.7538
2782,ENST00000357542,Q02161,0.7538
2783,ENST00000280020,Q86T90,0.7538
2784,ENST00000262585,A2RUS2,0.7539
2785,ENST00000558164,O95267,0.7539
2786,ENST00000338748,P37088,0.754
2787,ENST00000346219,Q9Y238,0.754
2788,ENST00000481579,Q8TEY7,0.754
2789,ENST00000602090,Q9UKR3,0.7541
2790,ENST00000484562,Q8NI35,0.7541
2791,ENST00000367058,P20023,0.7541
2792,ENST00000307849,Q96AH0,0.7542
2793,ENST00000514963,Q9HCX4,0.7542
2794,ENST00000382105,O75140,0.7543
2795,ENST00000395670,Q7Z4S6,0.7543
2796,ENST00000351904,Q8BMI3,0.7543
2797,ENST00000447511,A6NF34,0.7543
2798,ENST00000592943,Q9Y2X0,0.7543
2799,ENST00000473018,P11310,0.7544
2800,ENST00000458137,Q6UXS9,0.7545
2801,ENST00000592943,Q9Y2X0,0.7546
2802,ENST00000371239,Q9BX66,0.7546
2803,ENST00000261333,Q8NF99,0.7548
2804,ENST00000323716,Q8N2F6,0.7549
2805,ENST00000401669,Q9ULB1,0.7549
2806,ENST00000344269,O00192,0.755
2807,ENST00000377958,O08900,0.755
2808,ENST00000477384,Q9UF33,0.755
2809,ENST00000513151,Q13309,0.7551
2810,ENST00000355995,Q9NQB0,0.7551
2811,ENST00000596707,Q9H2X3,0.7551
2812,ENST00000391752,P29314,0.7551
2813,ENST00000443917,Q9HCX3,0.7551
2814,ENST00000432615,Q86XI2,0.7552
2815,ENST00000496627,Q5EB94,0.7552
2816,ENST00000342444,Q8N9N2,0.7552
2817,ENST00000471755,P13497,0.7552
2818,ENST00000566309,O95822,0.7553
2819,ENST00000538955,Q9H3S3,0.7553
2820,ENST00000519735,O14920,0.7554
2821,ENST00000503173,A6NNP5,0.7555
2822,ENST00000527575,P28347,0.7555
2823,ENST00000554270,Q16825,0.7555
2824,ENST00000457717,P55157,0.7556
2825,ENST00000534203,Q9GZY8,0.7558
2826,ENST00000449777,Q6NXT4,0.7558
2827,ENST00000275159,Q96NH3,0.7558
2828,ENST00000369878,Q9H8M5,0.7559
2829,ENST00000523371,Q8TAX9,0.7559
2830,ENST00000503485,O43497,0.756
2831,ENST00000371357,O55017,0.756
2832,ENST00000352931,Q13308,0.7561
2833,ENST00000601879,Q8IX01,0.7562
2834,ENST00000562090,Q92896,0.7563
2835,ENST00000357542,Q02161,0.7563
2836,ENST00000504326,P49699,0.7563
2837,ENST00000397171,Q96GD3,0.7563
2838,ENST00000595112,Q92945,0.7564
2839,ENST00000266110,Q13905,0.7564
2840,ENST00000494737,Q6UXS9,0.7564
2841,ENST00000318312,Q8NFJ9,0.7566
2842,ENST00000333194,O95263,0.7566
2843,ENST00000279477,Q5TFQ8,0.7566
2844,ENST00000398285,P34998,0.7568
2845,ENST00000446228,Q6U841,0.7568
2846,ENST00000356618,Q9NR12,0.7568
2847,ENST00000504730,P27707,0.7568
2848,ENST00000570248,Q9Z2L9,0.7568
2849,ENST00000457502,Q9H8M5,0.7569
2850,ENST00000474617,Q9BSQ5,0.7571
2851,ENST00000426291,P05231,0.7571
2852,ENST00000316364,Q8NFY4,0.7572
2853,ENST00000508345,Q9UF33,0.7573
2854,ENST00000589042,Q8WZ42,0.7574
2855,ENST00000379957,Q2VYF4,0.7575
2856,ENST00000490948,Q5TCH4,0.7575
2857,ENST00000414363,Q9UIR0,0.7575
2858,ENST00000462107,Q9UP52,0.7575
2859,ENST00000439889,Q96LC7,0.7577
2860,ENST00000394067,Q9H0B6,0.7577
2861,ENST00000372596,Q96GD3,0.7577
2862,ENST00000590334,P02654,0.7577
2863,ENST00000316724,O00499,0.7578
2864,ENST00000354831,O43847,0.7578
2865,ENST00000578674,Q96QE4,0.7578
2866,ENST00000244645,Q8WWU5,0.7578
2867,ENST00000495723,P20807,0.7579
2868,ENST00000380230,Q495B1,0.758
2869,ENST00000223791,Q7Z591,0.7581
2870,ENST00000559596,Q9BXS6,0.7581
2871,ENST00000259053,Q8IX05,0.7581
2872,ENST00000537368,Q13889,0.7582
2873,ENST00000544354,P81718,0.7582
2874,ENST00000414363,Q9UIR0,0.7582
2875,ENST00000367170,O94856,0.7583
2876,ENST00000305232,Q8N6T7,0.7583
2877,ENST00000557056,Q8NFM4,0.7583
2878,ENST00000382977,Q6XPS3,0.7584
2879,ENST00000547312,O00429,0.7584
2880,ENST00000339809,P97411,0.7584
2881,ENST00000315711,P41217,0.7584
2882,ENST00000422392,P12830,0.7585
2883,ENST00000451231,Q8NAC3,0.7585
2884,ENST00000361509,Q9P2J2,0.7586
2885,ENST00000558588,Q00722,0.7586
2886,ENST00000244645,Q8WWU5,0.7586
2887,ENST00000382039,Q12888,0.7586
2888,ENST00000548455,Q9HBM0,0.7587
2889,ENST00000447536,P10523,0.7587
2890,ENST00000596918,O14579,0.7588
2891,ENST00000493195,Q9P2J2,0.7588
2892,ENST00000545196,Q9NZS2,0.7589
2893,ENST00000578091,Q9BXW6,0.7589
2894,ENST00000354269,P20839,0.759
2895,ENST00000397147,Q15080,0.7591
2896,ENST00000445208,O00189,0.7591
2897,ENST00000518288,O15013,0.7592
2898,ENST00000474170,P08118,0.7592
2899,ENST00000352189,Q9HCX4,0.7592
2900,ENST00000586155,Q86YE8,0.7592
2901,ENST00000355905,Q8NFZ3,0.7593
2902,ENST00000344505,Q9UBC3,0.7594
2903,ENST00000490904,Q9Y6R4,0.7594
2904,ENST00000449777,Q6NXT4,0.7594
2905,ENST00000361812,P61132,0.7594
2906,ENST00000514249,Q6V702,0.7595
2907,ENST00000503485,O43497,0.7595
2908,ENST00000333936,Q9NZB2,0.7596
2909,ENST00000355893,P58340,0.7596
2910,ENST00000357568,P20807,0.7596
2911,ENST00000352189,Q9HCX4,0.7596
2912,ENST00000593922,Q14653,0.7598
2913,ENST00000498666,P05107,0.7599
2914,ENST00000307968,Q8TF40,0.7599
2915,ENST00000505975,Q9UBT6,0.7599
2916,ENST00000437573,O75461,0.7599
2917,ENST00000359742,Q9Y3R0,0.7599
2918,ENST00000525086,Q0MQI6,0.7599
2919,ENST00000491504,P45379,0.7602
2920,ENST00000491998,O76075,0.7604
2921,ENST00000409031,Q9NXE4,0.7604
2922,ENST00000375961,Q5VYS8,0.7604
2923,ENST00000529084,Q96J65,0.7604
2924,ENST00000565140,Q13286,0.7606
2925,ENST00000366531,Q5SY80,0.7606
2926,ENST00000344255,P55075,0.7606
2927,ENST00000586017,Q9Y2X0,0.7606
2928,ENST00000591420,Q8NG50,0.7606
2929,ENST00000557955,Q8TF62,0.7606
2930,ENST00000550347,Q9H9L4,0.7607
2931,ENST00000373723,Q96E11,0.7607
2932,ENST00000356290,Q00987,0.7608
2933,ENST00000579864,Q9UHR5,0.7608
2934,ENST00000345148,P33527,0.7609
2935,ENST00000372596,Q96GD3,0.7609
2936,ENST00000541022,Q99572,0.7609
2937,ENST00000337495,Q96GD3,0.7609
2938,ENST00000350612,Q8NEM7,0.761
2939,ENST00000538326,O15553,0.7611
2940,ENST00000230418,Q13308,0.7612
2941,ENST00000480212,Q8IX05,0.7612
2942,ENST00000460255,P20800,0.7612
2943,ENST00000573857,A6NH52,0.7612
2944,ENST00000479554,Q8BGE6,0.7613
2945,ENST00000360372,P45379,0.7615
2946,ENST00000367982,A2T7D9,0.7615
2947,ENST00000482229,Q6NW34,0.7615
2948,ENST00000601879,Q8IX01,0.7616
2949,ENST00000397203,Q8IUD2,0.7616
2950,ENST00000586155,Q86YE8,0.7617
2951,ENST00000348438,Q13324,0.7617
2952,ENST00000587597,O75298,0.7617
2953,ENST00000512805,P63245,0.7617
2954,ENST00000484181,P79384,0.7618
2955,ENST00000466268,P08118,0.7619
2956,ENST00000357048,Q9HC96,0.7619
2957,ENST00000392296,Q8N9W6,0.7619
2958,ENST00000389156,Q9Y6X4,0.762
2959,ENST00000441669,Q9H3H1,0.762
2960,ENST00000506183,Q07812,0.762
2961,ENST00000419606,Q9Y4P1,0.762
2962,ENST00000478879,Q1ZYL8,0.762
2963,ENST00000586021,P35789,0.7621
2964,ENST00000416073,O95831,0.7621
2965,ENST00000594845,Q9NWS0,0.7622
2966,ENST00000595193,Q09FC8,0.7623
2967,ENST00000336995,Q9BQA9,0.7623
2968,ENST00000463717,Q5EB94,0.7623
2969,ENST00000457854,Q92947,0.7624
2970,ENST00000573857,A6NH52,0.7624
2971,ENST00000395757,P36956,0.7625
2972,ENST00000483399,P09488,0.7625
2973,ENST00000483195,Q9BY07,0.7625
2974,ENST00000279544,Q9NZS2,0.7626
2975,ENST00000370727,O95490,0.7627
2976,ENST00000359218,Q8WZ42,0.7627
2977,ENST00000545968,Q14896,0.7628
2978,ENST00000461685,Q9ULU4,0.7628
2979,ENST00000376917,Q16653,0.7628
2980,ENST00000237275,Q5TFG8,0.7628
2981,ENST00000369326,Q9UKE5,0.7629
2982,ENST00000381584,Q15326,0.7629
2983,ENST00000415051,Q9Y2X8,0.763
2984,ENST00000399165,Q6ZVD7,0.7631
2985,ENST00000340181,Q9Y603,0.7631
2986,ENST00000439288,Q8TF71,0.7633
2987,ENST00000379862,A6NNP5,0.7633
2988,ENST00000369061,P21802,0.7634
2989,ENST00000552948,O75334,0.7634
2990,ENST00000411494,Q9JJ57,0.7634
2991,ENST00000423644,Q9BY07,0.7634
2992,ENST00000526187,P10242,0.7635
2993,ENST00000295981,Q8NAC3,0.7635
2994,ENST00000502396,Q5VWP3,0.7635
2995,ENST00000395647,A0PJK1,0.7635
2996,ENST00000371546,Q5R1P0,0.7636
2997,ENST00000510196,P06028,0.7636
2998,ENST00000476065,P09488,0.7637
2999,ENST00000532263,P10144,0.7637
3000,ENST00000356298,Q96LC7,0.7638
3001,ENST00000507164,Q9HAR2,0.7638
3002,ENST00000377662,Q96KV6,0.7638
3003,ENST00000593998,Q9BY76,0.7639
3004,ENST00000397203,Q8IUD2,0.7639
3005,ENST00000453218,Q8TBF5,0.7639
3006,ENST00000281087,Q96LB4,0.7639
3007,ENST00000343305,P16871,0.764
3008,ENST00000238018,Q9Y2T3,0.764
3009,ENST00000371246,Q9BX66,0.764
3010,ENST00000348850,Q9NS61,0.764
3011,ENST00000434756,Q8NAC3,0.764
3012,ENST00000368041,Q9HBG7,0.7641
3013,ENST00000344191,P55196,0.7642
3014,ENST00000378280,O15350,0.7643
3015,ENST00000277551,Q00975,0.7643
3016,ENST00000545242,Q6H8Q1,0.7643
3017,ENST00000556918,P56975,0.7643
3018,ENST00000402845,Q01815,0.7643
3019,ENST00000432893,O60256,0.7644
3020,ENST00000466808,Q96KV6,0.7644
3021,ENST00000271029,O95490,0.7644
3022,ENST00000371000,Q99665,0.7644
3023,ENST00000564105,Q2VPK5,0.7644
3024,ENST00000553771,O08719,0.7645
3025,ENST00000340252,Q9UQQ1,0.7646
3026,ENST00000392004,P12111,0.7646
3027,ENST00000522294,Q68EA5,0.7646
3028,ENST00000569440,Q96RK4,0.7646
3029,ENST00000397789,P59750,0.7647
3030,ENST00000504937,P04637,0.7648
3031,ENST00000525372,O43826,0.7649
3032,ENST00000343948,Q9UBL9,0.7649
3033,ENST00000542898,O15553,0.7649
3034,ENST00000490004,Q8TD46,0.7649
3035,ENST00000342951,Q15238,0.7649
3036,ENST00000508946,Q80TS3,0.765
3037,ENST00000421719,A4D1E9,0.765
3038,ENST00000574832,Q9HA64,0.7651
3039,ENST00000395813,P20810,0.7651
3040,ENST00000371473,Q6X4W1,0.7651
3041,ENST00000535277,Q96GC5,0.7651
3042,ENST00000360584,P48067,0.7651
3043,ENST00000356033,Q9UK76,0.7651
3044,ENST00000446716,Q9NP58,0.7652
3045,ENST00000353782,Q96J66,0.7652
3046,ENST00000227495,Q11206,0.7653
3047,ENST00000434756,Q8NAC3,0.7653
3048,ENST00000514157,Q9HAR2,0.7655
3049,ENST00000510196,P06028,0.7655
3050,ENST00000422431,Q8NB59,0.7655
3051,ENST00000512196,Q9Y251,0.7656
3052,ENST00000576315,O15553,0.7656
3053,ENST00000361536,P15509,0.7656
3054,ENST00000253811,O60610,0.7657
3055,ENST00000484181,P05166,0.7657
3056,ENST00000263463,P79373,0.7657
3057,ENST00000330210,Q5JZY3,0.7657
3058,ENST00000545233,Q9H3H1,0.7658
3059,ENST00000263463,P79373,0.7658
3060,ENST00000349824,Q13422,0.7659
3061,ENST00000594845,Q9NWS0,0.7659
3062,ENST00000350060,P98171,0.766
3063,ENST00000321027,P16383,0.7661
3064,ENST00000401994,O00192,0.7661
3065,ENST00000454502,Q8NCE0,0.7661
3066,ENST00000511324,Q9HAR2,0.7665
3067,ENST00000397746,O95954,0.7666
3068,ENST00000594845,Q9NWS0,0.7666
3069,ENST00000535516,Q9HA77,0.7666
3070,ENST00000357210,Q96AX9,0.7667
3071,ENST00000397391,P16471,0.7667
3072,ENST00000377847,Q02548,0.7668
3073,ENST00000317757,Q9NPH3,0.7668
3074,ENST00000458169,Q13402,0.7668
3075,ENST00000335786,O95490,0.7669
3076,ENST00000339503,Q86YE8,0.7669
3077,ENST00000435083,P02708,0.7669
3078,ENST00000439975,A0MLS4,0.767
3079,ENST00000379917,Q13443,0.7671
3080,ENST00000540011,Q5JZY3,0.7671
3081,ENST00000445209,Q6UY09,0.7671
3082,ENST00000520835,O14920,0.7672
3083,ENST00000429383,Q92609,0.7672
3084,ENST00000539606,Q99572,0.7672
3085,ENST00000561306,O15061,0.7672
3086,ENST00000497907,Q92974,0.7674
3087,ENST00000336838,Q3V6T2,0.7674
3088,ENST00000514622,Q5RBP1,0.7674
3089,ENST00000403078,P31994,0.7676
3090,ENST00000382434,Q9NR90,0.7676
3091,ENST00000382434,Q9NR90,0.7676
3092,ENST00000462233,A6NKB5,0.7676
3093,ENST00000506800,A6NNP5,0.7676
3094,ENST00000598889,Q9NWS0,0.7677
3095,ENST00000442691,Q14994,0.7677
3096,ENST00000462797,Q9H3H1,0.7677
3097,ENST00000534127,P78524,0.7678
3098,ENST00000370721,O95490,0.7678
3099,ENST00000399786,Q8TCY5,0.7679
3100,ENST00000439975,A0MLS4,0.7679
3101,ENST00000521415,Q9Y2G2,0.7679
3102,ENST00000399591,P22002,0.768
3103,ENST00000545170,P54252,0.7681
3104,ENST00000357368,Q13332,0.7684
3105,ENST00000393366,P05496,0.7684
3106,ENST00000418617,Q15166,0.7684
3107,ENST00000400155,O14490,0.7684
3108,ENST00000222402,Q9Y2X8,0.7684
3109,ENST00000449777,Q6NXT4,0.7684
3110,ENST00000376815,P17693,0.7685
3111,ENST00000380563,P0CAP1,0.7686
3112,ENST00000366772,Q5T6L9,0.7686
3113,ENST00000371122,P28370,0.7687
3114,ENST00000444971,Q9UHP7,0.7687
3115,ENST00000596651,Q9NWS0,0.7688
3116,ENST00000527628,O14681,0.7688
3117,ENST00000519047,Q6NT76,0.7688
3118,ENST00000355294,Q8WWW0,0.7689
3119,ENST00000341032,Q9HBG7,0.7689
3120,ENST00000514215,Q9Y6X4,0.7691
3121,ENST00000316937,Q8WVR3,0.7692
3122,ENST00000483151,O15211,0.7693
3123,ENST00000433738,Q6UXS9,0.7693
3124,ENST00000441387,Q659C4,0.7694
3125,ENST00000414986,Q5JTH9,0.7695
3126,ENST00000349029,P33527,0.7695
3127,ENST00000409861,P43304,0.7695
3128,ENST00000549622,Q9HCS2,0.7695
3129,ENST00000332191,Q9HCK4,0.7695
3130,ENST00000542053,Q76FK4,0.7696
3131,ENST00000570913,Q60437,0.7696
3132,ENST00000513685,P17301,0.7697
3133,ENST00000347598,Q13936,0.7697
3134,ENST00000507510,O43497,0.7697
3135,ENST00000479719,P11172,0.7697
3136,ENST00000360383,Q13042,0.7698
3137,ENST00000588859,P19235,0.7698
3138,ENST00000405222,O60941,0.7699
3139,ENST00000373803,Q9UGV2,0.7699
3140,ENST00000534044,P10242,0.7701
3141,ENST00000580959,Q8WYR1,0.7701
3142,ENST00000371559,Q05586,0.7702
3143,ENST00000553488,P54252,0.7703
3144,ENST00000537274,P46937,0.7703
3145,ENST00000397955,Q8R5C8,0.7704
3146,ENST00000457284,Q8TBF5,0.7704
3147,ENST00000347598,Q13936,0.7705
3148,ENST00000536980,O15553,0.7705
3149,ENST00000437338,P58658,0.7706
3150,ENST00000497792,P54315,0.7707
3151,ENST00000484181,P05166,0.7707
3152,ENST00000471755,P13497,0.7707
3153,ENST00000338937,Q99062,0.7707
3154,ENST00000486813,O75716,0.7707
3155,ENST00000361980,O95258,0.7707
3156,ENST00000372431,P55058,0.7709
3157,ENST00000373503,Q9BPZ7,0.7709
3158,ENST00000542836,O43581,0.771
3159,ENST00000358671,P31994,0.7712
3160,ENST00000536633,Q86UY5,0.7713
3161,ENST00000277141,Q5VYS8,0.7713
3162,ENST00000326270,Q86UE8,0.7713
3163,ENST00000443686,O75334,0.7713
3164,ENST00000544368,Q5XIM9,0.7713
3165,ENST00000371509,P22307,0.7714
3166,ENST00000412444,Q9UKS7,0.7716
3167,ENST00000443073,P48551,0.7717
